system:index,Aerosol Index,date,.geo
20220125T073958_20220125T081650,1.0373033249644796,2022-01-25T07:39:53,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220125T074458_20220125T081725,,2022-01-25T07:44:53,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220126T071958_20220126T075611,,2022-01-26T07:19:53,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220126T072458_20220126T075741,0.8840498979726904,2022-01-26T07:24:53,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220127T070458_20220127T073654,,2022-01-27T07:04:52,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220127T084355_20220127T100019,0.7062591196019026,2022-01-27T08:43:50,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220128T082719_20220128T090047,0.34145834894045285,2022-01-28T08:27:14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220129T080719_20220129T084018,-0.1296305498422735,2022-01-29T08:07:13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220130T074719_20220130T082416,-0.40655173452193655,2022-01-30T07:47:13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220131T072719_20220131T080325,-0.010285449831867405,2022-01-31T07:27:13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220131T073219_20220131T080544,,2022-01-31T07:32:13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220201T071219_20220201T074434,0.37735069908055985,2022-02-01T07:12:13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220201T085219_20220201T092433,0.9084020905220174,2022-02-01T08:52:13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220202T083219_20220202T090647,0.23423961268626017,2022-02-02T08:32:13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220203T081219_20220203T084706,-0.4883692699773312,2022-02-03T08:12:14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220204T075219_20220204T082634,0.10612678746990178,2022-02-04T07:52:13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220204T075719_20220204T082728,,2022-02-04T07:57:13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220205T073219_20220205T081022,,2022-02-05T07:32:14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220205T073719_20220205T081059,0.3136579096634012,2022-02-05T07:37:13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220206T071719_20220206T075056,0.5181202830931528,2022-02-06T07:17:13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220206T085719_20220206T092942,,2022-02-06T08:57:13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220207T083719_20220207T091254,0.24346856388375557,2022-02-07T08:37:13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220208T082057_20220208T085405,-0.6393335291958002,2022-02-08T08:20:52,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220209T075815_20220209T083419,-1.193953610621022,2022-02-09T07:58:10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220209T080315_20220209T083511,,2022-02-09T08:03:10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220210T074315_20220210T082223,-0.9698110982054854,2022-02-10T07:43:09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220211T072315_20220211T075823,-0.5496411720787058,2022-02-11T07:23:10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220212T070315_20220212T073810,,2022-02-12T07:03:09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220212T084315_20220212T091807,0.4364152179400399,2022-02-12T08:43:10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220212T084815_20220212T091840,,2022-02-12T08:48:09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220213T082315_20220213T085851,0.10689759361890995,2022-02-13T08:23:09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220213T082815_20220213T085934,,2022-02-13T08:28:09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220214T080815_20220214T084012,-0.7019109450012053,2022-02-14T08:08:09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220215T074815_20220215T082344,-1.1136328444579655,2022-02-15T07:48:09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220216T072815_20220216T080248,-0.6970556036576829,2022-02-16T07:28:09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220217T070815_20220217T074349,0.19768512402424926,2022-02-17T07:08:09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220217T071315_20220217T074415,0.19847700656421496,2022-02-17T07:13:09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220217T084815_20220217T092338,0.18214242481834528,2022-02-17T08:48:09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220217T085315_20220217T092405,0.1818057070309794,2022-02-17T08:53:09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220218T065315_20220218T072721,,2022-02-18T06:53:10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220218T083315_20220218T090617,-0.19891593691304504,2022-02-18T08:33:09,"{""type"":""MultiPoint"",""coordinates"":[]}"
