system:index,NO2_Density,date,.geo
20200312T080955_20200312T084845,,2020-03-12T08:09:49,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200313T074455_20200313T082843,6.75790223088281E-5,2020-03-13T07:44:49,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200313T074955_20200313T083102,7.39620577943399E-5,2020-03-13T07:49:49,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200315T070850_20200315T075122,6.454786386175951E-5,2020-03-15T07:08:44,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200315T084850_20200315T093107,8.707406858517297E-5,2020-03-15T08:48:45,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200315T085350_20200315T093225,,2020-03-15T08:53:44,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200316T065350_20200316T073354,,2020-03-16T06:53:44,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200316T082850_20200316T091056,8.188335811066227E-5,2020-03-16T08:28:44,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200316T083350_20200316T091312,8.722814343161099E-5,2020-03-16T08:33:44,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200317T081350_20200317T085330,8.206916127996828E-5,2020-03-17T08:13:44,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200318T075350_20200318T083705,9.384218011218458E-5,2020-03-18T07:53:44,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200319T073350_20200319T081858,9.141873029269956E-5,2020-03-19T07:33:44,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200320T071350_20200320T075603,,2020-03-20T07:13:45,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200320T071850_20200320T080107,9.153377664845635E-5,2020-03-20T07:18:45,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200321T065850_20200321T074017,,2020-03-21T06:58:45,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200321T083850_20200321T092009,1.0948181219308284E-4,2020-03-21T08:38:44,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200322T081850_20200322T090024,7.57428599342289E-5,2020-03-22T08:18:44,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200323T075850_20200323T084147,7.954113118738184E-5,2020-03-23T07:58:44,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200323T080350_20200323T084301,,2020-03-23T08:03:44,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200324T073850_20200324T082142,7.17356872104939E-5,2020-03-24T07:38:45,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200324T074350_20200324T082337,7.14604089667768E-5,2020-03-24T07:43:44,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200325T072350_20200325T080313,6.364091909045285E-5,2020-03-25T07:23:45,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200326T070350_20200326T074518,,2020-03-26T07:03:44,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200326T084350_20200326T092616,6.542716336437859E-5,2020-03-26T08:43:44,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200327T082350_20200327T090755,7.410187234225655E-5,2020-03-27T08:23:45,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200327T082850_20200327T090845,,2020-03-27T08:28:45,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200328T080350_20200328T084738,8.382482681070301E-5,2020-03-28T08:03:44,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200328T080850_20200328T084902,8.527310897303595E-5,2020-03-28T08:08:45,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200329T074850_20200329T083029,7.483019076475364E-5,2020-03-29T07:48:45,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200330T072850_20200330T081129,5.971009460650598E-5,2020-03-30T07:28:44,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200331T070850_20200331T075315,5.976219657435245E-5,2020-03-31T07:08:44,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200331T084850_20200331T093239,7.502297594523085E-5,2020-03-31T08:48:44,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200331T085350_20200331T093259,,2020-03-31T08:53:44,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200401T065350_20200401T073443,,2020-04-01T06:53:45,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200401T082850_20200401T091114,7.698539496192578E-5,2020-04-01T08:28:44,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200401T083350_20200401T091149,7.616967776650845E-5,2020-04-01T08:33:45,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200402T081350_20200402T085716,7.247624084367308E-5,2020-04-02T08:13:44,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200403T075350_20200403T083724,5.6501275394204016E-5,2020-04-03T07:53:44,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200404T073448_20200404T081341,2.0379456045371082E-4,2020-04-04T07:34:42,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200405T071448_20200405T075533,3.835130022819995E-5,2020-04-05T07:14:42,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200405T085448_20200405T093423,,2020-04-05T08:54:42,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200406T065948_20200406T073900,,2020-04-06T06:59:43,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200406T083948_20200406T092028,4.948488836996047E-5,2020-04-06T08:39:42,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200407T081948_20200407T090223,6.599500276000969E-5,2020-04-07T08:19:43,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200408T075948_20200408T084940,8.278381642165807E-5,2020-04-08T07:59:42,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200409T073948_20200409T082050,7.011569074728357E-5,2020-04-09T07:39:42,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200409T074448_20200409T082355,,2020-04-09T07:44:42,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200410T071948_20200410T080139,,2020-04-10T07:19:43,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200410T072448_20200410T080558,7.468595171649773E-5,2020-04-10T07:24:42,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200411T070448_20200411T074632,,2020-04-11T07:04:43,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200411T084448_20200411T092655,7.226175572062339E-5,2020-04-11T08:44:42,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200412T082448_20200412T090946,7.296170719944322E-5,2020-04-12T08:24:42,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200413T080448_20200413T084754,7.226412751457655E-5,2020-04-13T08:04:43,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200413T080948_20200413T084853,,2020-04-13T08:09:43,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200414T074448_20200414T082752,,2020-04-14T07:44:42,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200414T074948_20200414T083030,7.501653231207718E-5,2020-04-14T07:49:43,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200415T072948_20200415T081128,7.138990543585427E-5,2020-04-15T07:29:42,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200416T070948_20200416T075221,7.464160510455844E-5,2020-04-16T07:09:42,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200416T084948_20200416T093056,7.729206784831097E-5,2020-04-16T08:49:42,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200417T082948_20200417T091219,7.599128976153689E-5,2020-04-17T08:29:43,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200417T083448_20200417T091400,,2020-04-17T08:34:42,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200418T080948_20200418T085132,8.14626645219074E-5,2020-04-18T08:09:42,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200418T081448_20200418T085524,8.441842676538641E-5,2020-04-18T08:14:42,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200419T075448_20200419T083504,7.18813191901127E-5,2020-04-19T07:54:42,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200420T073448_20200420T081855,7.744992985439854E-5,2020-04-20T07:34:42,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200421T071448_20200421T075556,9.384464226170896E-5,2020-04-21T07:14:42,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200421T085448_20200421T093618,,2020-04-21T08:54:43,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200422T065948_20200422T073922,,2020-04-22T06:59:42,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200422T083948_20200422T091721,9.612057780901566E-5,2020-04-22T08:39:42,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200423T081948_20200423T085937,1.0446979395561076E-4,2020-04-23T08:19:42,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200424T075948_20200424T084227,8.854811962130962E-5,2020-04-24T07:59:42,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200425T073948_20200425T082118,7.963842954686733E-5,2020-04-25T07:39:42,"{""type"":""MultiPoint"",""coordinates"":[]}"
